Judul_Pekerjaan,Perusahaan,Lokasi,Jenis_Pekerjaan,Gaji,Kualifikasi_Keterampilan,URL_Target
Data Engineer,PT Indocyber Global Teknologi,"Kebayoran Lama, Jakarta Raya",Kontrak/Temporer,Dirahasiakan,"Design, build, and maintain scalable data pipelines and ETL/ELT processes | Develop and optimize data architectures, data lakes, and data warehouses | Collect, process, and clean large datasets from various sources (structured and unstructured) | Ensure data quality, integrity, and reliability across all data systems | Collaborate with data scientists, analysts, and stakeholders to support data needs | Implement data models and database schemas to support business requirements | Monitor and troubleshoot data pipeline performance and failures | Optimize data storage and retrieval for performance and cost-efficiency | Integrate data from third-party APIs, cloud services, and internal systems | Apply best practices in data governance, security, and compliance | Automate workflows and data processing tasks using scripting and orchestration tools | Maintain documentation for data pipelines, systems, and processes | Work with big data technologies (e.g., Hadoop, Spark) and cloud platforms (e.g., AWS, GCP, Azure) | Support real-time and batch data processing systems | Has 3 years of experience as an ETL Developer or Data Engineer or similar positions. | Proven experience in ETL design, development, and optimization. | Has experience handling Migration Cloud Platform. | Hands-on experience with SQL Server Integration Services (SSIS). | Strong proficiency in SQL and experience working with relational and NoSQL databases. | Experience in data integration, transformation, and data pipeline orchestration.",https://id.jobstreet.com/id/job/91375382
Presales IT Security,Cyber Sinergi Indonesia,"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,"Bachelor's degree in Information Technology (S1) | Understanding of Security fundamentals, security protocols and analytical skills | Minimum of 3 years experience in related position | Experience with Solution Design & Technical Proposal | Lead, demonstrate, and conduct PoCs to prove solution effectiveness to prospective clients | Familiar cybersecurity tools such as PAM, IAM, EDR, SIEM, Firewall | Good communications skill in English",https://id.jobstreet.com/id/job/91530036
Sales Executive ( IT Solution),PT Artha Infotama (Jakarta),"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,"Controlling and handling end to end process in Marketing and Sales with a strategic point of view to win the market and achieve a sales target. | Contribute to business planning to develop marketing strategies that are consistent with the mission, vision and overall goals of the organization. | Responsible for monitoring and evaluating project activities and results and directing the marketing team's efforts. | Analyze and develop marketing strategies to reach a larger number of customer prospects. | Improving the efficiency in sales and marketing department | Have a good sense of leadership and people management that based on strategic point of view including communicate the goals and strategic to the subordinates, able to set the rules and discipline in the sales and marketing team | Able to solve the problem that related to human and achieving target including impacted the team with a good motivation. | Minimum has 2 years of working experience in same fields (IT Solution). | Bachelor/Master’s degree from Marketing, Business, Communication or related field. | Good command in English, both oral and written, able to articulate ideas and key selling points to prospective clients. | Excellent communication skills, good analytical thinking, able to think creative and innovative. | Confidence, having good persuasion. | Enthusiastic in getting new leads independently, able to work under pressure and result-oriented. | Solid track records in sales for at least 2 years..",https://id.jobstreet.com/id/job/91372031
Integration Analyst,PT Lentera Bangsa Benderang,"Jakarta Barat, Jakarta Raya",Kontrak/Temporer,Rp 12.500.000 – Rp 13.000.000 per month,"Develop innovative solutions and contribute to business growth. | Analyze business requirements and translate them into system needs. | Design and configure applications to meet business requirements. | Communicate with various stakeholders to ensure seamless application integration. | Create TED and FSD application documents. | Analyze and test external APIs. | Collaborate with Product Owners, Scrum Masters, Developers, and Application Designers to design integration needs. | Prepare test data for SIT and UAT requirements. | Ensure applications function properly throughout the development lifecycle, including post go-live. | Manage operational risk by identifying, assessing, monitoring, controlling, and mitigating risks while ensuring data quality and compliance with bank regulations. | Bachelor’sdegree in Computer Science, Information Systems, or a related field. | Strong communication and interpersonal skills. | Proactive, disciplined, responsible, detail-oriented, and well-organized. | Ability to work both independently and collaboratively with cross-functional teams. | Strong problem-solving skills and ability to suggest improvements. | Experience in project documentation, includingFSD,TSD,PRD, andBAST. | Minimum of3 yearsof experience as aSystem Analyst or related role. | Have experience in thebanking industryandbackend development exposure. | Strongdiagnostic and troubleshootingskills. | Knowledge ofRESTful APIs. | Experience in programming languages such asJava / Kotlin / C / C++ or etc. | Proficiency inSQL Query. | Proficiency inEnglishcommunication. | Contract: 3-month(extendable) | Location: West Jakarta | Work type: On-site/Work from Office (WFO)",https://id.jobstreet.com/id/job/91563385
SAP SD,PT ELISTEC INFORMATIKA UTAMA,"Jakarta Pusat, Jakarta Raya",Full time,Dirahasiakan,Requirement dan Analisis Kebutuhan bisnis | Melakukan Konfigurasi SAP | Membuat Dokumentasi Teknis untuk dibagikan dengan tim development dan operation | Melakukan Testing & Implementasi | Support untuk proses live | Melakukan training user | Pengalaman minimal 3-5 tahun sebagai Functional Consultant SAP S/4 Modul SD atau Pre Sales/CRM. | Paham dengan Presales/CRM di modul SD | Familiar dengan SAP Fiory dan Odata | Kemampuan membuat dokumentasi fungsional dan teknis. | Familiar dengan ABAP debugging (diutamakan). | Diutamakan memiliki pengalaman implementasi di industri otomotif.,https://id.jobstreet.com/id/job/91533617
Jr. Data Engineer,Somethinc,Jakarta Raya,Full time,Dirahasiakan,"Design, create, and maintain optimal data pipeline architectures. | Assemble large and complex datasets that meet both functional and non-functional business requirements. | Identify, design, and implement internal process improvements, including automation of manual processes, optimization of data delivery, and infrastructure redesign for improved scalability. | Develop and maintain infrastructure for efficient extraction, transformation, and loading (ETL) of data from various data sources using SQL and AWS big data technologies. | Build analytics tools leveraging data pipelines to deliver actionable insights on customer acquisition, operational efficiency, and key business performance metrics. | Collaborate with stakeholders including Executive, Product, Data, and Design teams to support data-related technical needs and resolve infrastructure issues. | Work closely with data and analytics experts to continuously enhance the functionality and performance of data systems. | Fast learner with a strong willingness to adapt to new technologies. | Strong analytical and logical thinking skills. | Good communication skills with the ability to interact effectively across all organizational levels. | Positive attitude with a pleasant and professional personality. | Proven experience in building and optimizing big data pipelines, architectures, and datasets. | Hands-on experience with AWS cloud services such as EC2, Glue, Lambda, RDS, and Redshift. | Proficiency in object-oriented or functional programming languages (e.g., Python, Java, C++, Scala). | Minimum of 1 year experience in a related field. | Bachelor’s degree in Computer Science, Information Systems, or a related discipline.",https://id.jobstreet.com/id/job/91311078
Junior .NET Developer,PT MITRA MANUNGGAL MAHARDIKA,"Jakarta Utara, Jakarta Raya",Full time,Dirahasiakan,"Gelar sarjana dalam Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau bidang terkait. | Fresh graduate dipersilakan melamar; pengalaman magang atau project pribadi / akademik di bidang .NET menjadi nilai tambah. | Dapat menyertakan portofolio atau tautan project (GitHub, GitLab, atau sejenisnya). | Mengembangkan, melakukan testing, dan memelihara fitur-fitur pada aplikasi berbasis ASP.NET MVC / Web Forms / .NET Core API. | Menulis kode C# yang bersih, terstruktur, dan sesuai dengan konvensi tim (clean code & coding convention). | Merancang dan mengeksekusi query SQL Server, termasuk stored procedure dan view untuk kebutuhan data aplikasi. | Berkolaborasi dengan senior developer dalam proses code review, estimasi task, dan penyelesaian bug. | Memahami dan mengikuti arsitektur sistem yang sudah berjalan sebelum melakukan perubahan pada modul yang ada. | Mendokumentasikan pekerjaan secara ringkas — baik dalam bentuk komentar kode maupun catatan teknis. | Berkoordinasi dengan tim UI/UX untuk mengimplementasikan tampilan front-end pada view MVC atau halaman WebForms. | Aktif belajar dan beradaptasi dengan teknologi, tools, dan pola pengembangan yang digunakan oleh tim.",https://id.jobstreet.com/id/job/91145051
Project Manager,PT Ivonesia Solusi Data,Jakarta Raya,Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/91317931
Data Engineer (Senior),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Minimal 3 tahun pengalaman sebagai Data Engineer / role terkait | MahirPython&Advanced SQL(subquery, window function, query optimization, stored procedure, dll) | Berpengalaman dengan database:MySQL, PostgreSQL, Oracle, Snowflake | Memahamidata modeling & arsitektur data(distributed storage & processing) | Berpengalaman dalamETL/ELT & data pipelinedevelopment | Familiar denganstream & batch processing | Airbyte, Apache Airflow, Apache Kafka | Pandas, NumPy, data wrangling | API integration & data scraping (BeautifulSoup, Scrapy, dll) | Cloud & container: Docker, Kubernetes | Nilai tambah: Tableau / QlikView",https://id.jobstreet.com/id/job/91399413
Application Support,PT Bumi Amartha Teknologi Mandiri,"Kemayoran, Jakarta Raya",Kontrak/Temporer,Dirahasiakan,"Develop, enhance, and maintain machine learning models, web applications, data analysis tools, and automation scripts. | Write clean, efficient, and well-documented code using Python. | Perform code testing, debugging, troubleshooting, and issue resolution to ensure application stability. | Develop and maintain server-side web application logic and backend processes. | Integrate third-party systems and external services into the company’s infrastructure. | Monitor application performance and proactively identify system issues. | Provide technical support, issue investigation, and root cause analysis for application-related incidents. | Collaborate with internal teams to implement system improvements and new features. | Ensure application availability, reliability, and performance in production environments. | Support deployment activities, system maintenance, and continuous enhancement initiatives. | Bachelor’s Degree in Computer Engineering, Computer Science, Information Technology, or equivalent. | Minimum 2–3 years of working experience in Application Support, Software Development, or related fields. | Strong proficiency in Python programming (mandatory). | Hands-on experience in software development and programming. | Experience in debugging, testing, and maintaining applications. | Familiarity with backend development and server-side logic. | Experience in API integration or external service integration is an advantage. | Strong analytical, troubleshooting, and problem-solving skills. | Good communication and teamwork abilities. | Able to work in a fast-paced and dynamic environment.",https://id.jobstreet.com/id/job/91530560
IT Systems Software Developer & ERP Administratorr (ERPNext),General Magick Industries,Jakarta Raya,Full time,Rp 6.000.000 – Rp 8.000.000 per month,,https://id.jobstreet.com/id/job/91344285
Tech lead,PT ABISHAR TECHNOLOGIES INDONESIA,"Jakarta Timur, Jakarta Raya",Full time,Rp 18.000.000 – Rp 27.000.000 per month,,https://id.jobstreet.com/id/job/90957209
QA Engineer (Contract Based),PT. Garena Indonesia,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Develop, document, and maintain detailed test plans, test cases, and test data for all project features. | Execute manual functional, regression, integration, and compatibility testing to identify bugs. | Log, track, and manage defects in Jira, performing thorough root cause analysis and validating fixes. | Conduct API testing using tools like Postman to validate data integrity and service-level functionality. | Collaborate closely with developers in an Agile environment to ensure requirements are clear and testable from the start. | Report on test execution progress, results, and quality metrics to the project team during sprint ceremonies. | Support User Acceptance Testing (UAT) with business stakeholders and assist in production deployment verification. | Identify opportunities for and contribute to the development of test automation to improve long-term efficiency. | 1 - 2 years experience in a Software QA Engineer role, with a focus on manual testing (fresh graduates with previous internship experience in relevant role are welcome to apply) | Strong knowledge of software QA methodologies, tools, and processes across the full SDLC. | Experience working in an Agile/Scrum development process | Hands-on experience with defect tracking systems (e.g., Jira) and test management tools. | Solid experience in API testing using tools such as Postman or similar. | Excellent analytical and problem-solving skills with a meticulous attention to detail. | Strong interest in exploring and leveraging AI tools to improve daily workflows and drive process efficiency | Strong verbal and written communication skills to effectively collaborate with technical and non-technical teams. | Highly passionate about games with a good knowledge of the gaming industry in Indonesia; having a deeper curiosity for game products and the industry's best practices | Willing to work under a 6-month contract with a full Work From Office (WFO) arrangement at our South Jakarta office",https://id.jobstreet.com/id/job/90820416
QA Automation - Insurance Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Memiliki pengalaman di bidang Software Development | Memiliki pengetahuan yang kuat terkait metodologi, tools , dan proses yang berhubungan dengan Software QA | Memiliki pengalaman untuk membuat test plans dan test cases menggunakan aplikasi seperti Jira | Memiliki pengalaman melakukan pengetesan mobile apps (android/ios), web application, dan integration test | Memiliki pengalaman menggunakan SQL (DML), postman, dan Ms. Access | Memiliki pengalaman di industri asuransi jiwa min. 1 tahun (Individual Product dan handle core) | Memiliki kemampuan komunikasi dan integritas yang baik | Memiliki kemampuan analisa yang baik dan pola pikir untuk pemecahan masalah (problem solving attitude) | Memiliki self management yang baik, dapat bekerja di lingkungan yang minim supervisi | Bertanggungjawab terhadap pekerjaan yang diberikan | Mudah dihubungi pada saat hari dan waktu kerja",https://id.jobstreet.com/id/job/90774284
Data Engineer,PT Orange Inovasi Digital,"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,"Design, build, and maintain scalable data pipelines for ingestion, transformation, and loading (ETL/ELT) | Develop and optimize data architectures to support analytics and business intelligence needs | Ensure data quality, integrity, and reliability across various data sources | Collaborate with cross-functional teams (e.g., Product, BI, Engineering) to understand data requirements | Monitor and troubleshoot data pipeline performance issues | Implement data governance and best practices for data management | Support the development of dashboards, reports, and data models | Document data processes, workflows, and system architecture | Bachelor’s degree in Computer Science, Information Systems, or a related field | Minimum 2 years of experience in data engineering, data analytics, or similar roles | Hands-on experience with SQL and at least one programming language (e.g., Python) | Familiarity with data pipeline tools (e.g., Airflow, dbt, or similar) | Basic understanding of data warehousing concepts (e.g., BigQuery, Redshift, Snowflake) | Experience working with structured and unstructured data | Understanding of ETL/ELT processes and data modeling fundamentals | Exposure to cloud platforms (e.g., AWS, GCP, or Azure) is a plus | Strong problem-solving skills and attention to detail | Good communication skills and ability to work collaboratively",https://id.jobstreet.com/id/job/91412827
Developer Intern,Karunia Prima Nastari (KPN CORP.),"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,"Develop HR System based on KPN's needs and improvements. | Develop & test web applications. | Collaborate with Product Owner, Project Manager, and Project Supervisor regarding progress and requirements. | Active university student, minimum 6th semester or above. | Majoring in Informatics Engineering, Information Systems, or Computer Science. | Fast learner with initiative. | Able to work according to a timeline. | Proficient in programming (OOP) using PHP. | Familiar with the Laravel Framework. | Own a personal laptop. | Experience with CSS, HTML, JS, and MySQL.",https://id.jobstreet.com/id/job/91247888
Associate Data Engineer,Enterprise Digital Technology Services - EDTS,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Create SQL queries to deliver ad-hoc BI requirement | Contribute to automation, performance tuning, and optimization of data systems | Write and optimize SQL queries to access and manipulate large datasets | Create various forms of actionable BI mechanism (interactive reports, dashboard, alerts, scheduled email report, etc.) using any available BI tools (e.g. Spreadsheets, Looker BI, etc.) | Understand customer business flow | Monitor data quality and troubleshoot data issues | Aware of important customer business metrics | Able to perform basic (select, join, conditions, etc.) | Collaborate with cross-functional teams to gather requirements and ensure data accuracy and integrity | Bachelor’s degree in Computer Science, Information Systems, Engineering, or a related field | Min. 1 year experience as Data Engineer | Proficiency in Python for data manipulation, automation, and pipeline development | Solid understanding of SQL and relational database systems (e.g., PostgreSQL, MySQL, SQL Server) | Familiarity with ETL concepts and data warehousing | Basic knowledge of cloud services such as Google Cloud or AWS | Exposure to data visualization tools (Power BI, Tableau, Looker) | Basic understanding of big data frameworks (Spark, Hadoop) | Good analytical and problem-solving abilities | Attention to detail in working with large and complex datasets | Team collaboration skills, with the ability to work effectively with data analysts, engineers, and business teams | Good communication and documentation practices | Contract 1 year | Full WFO at Wisma 46, Jakarta Pusat",https://id.jobstreet.com/id/job/90666652
Network Specialist & Cloud Engineer,ASSA Rent (Jakarta),"Jakarta Utara, Jakarta Raya",Full time,Dirahasiakan,"Creates and maintains overall network plans, encompassing the communication of data (including voice, text, and images), in the support of an organization business strategy | Creates and maintains the production of network designs and design policies, strategies, architectures, and documentation, covering voice, data, text, e-mail, facsimile and image, to support strategy and business requirements for connectivity, capacity, interfacing, security, resilience, recovery, access and remote access. | The provision of network maintenance and support services. | Takes lead in investigating and resolving problems and providing information about the systems. | Have a relevant industry certification is a plus | Problem solver, quick learner, and team worker | Good analytical, communication skills, attention to detail and time management | Excellence knowledge of Firewall/IDS/IPS/WAF and monitoring tools | Have solid understating of networking fundamentals (TCP/IP-based services, including DNS, DHCP, SSH, SMTP, etc.) and internet routing protocol (RIP, OSPF, BGP, etc.) | Min 1 years experience in related position (Fresh graduate are welcome) | Bachelor Degree of Computer Science / Information Engineering / Information System",https://id.jobstreet.com/id/job/89054777
BI Platform Engineer - Data Dev (Loc: Jakarta Utara),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/90728811
AI Growth Technologist,Sagara Technology Group,Jakarta Raya,Full time,Dirahasiakan,"Build, improve, and operate Sagara’s AI-driven demand generation engine to attract, qualify, and nurture demand for Asia-focused tech outsourcing, especially for Japan and the GCC. | Design, develop, and optimize AI workflows that strengthen Sagara’s core market promise:Deploy Talent NowAI MatchingAI ScreeningAI Productivity LayerReplacement SpeedQuality Control | Deploy Talent Now | AI Matching | AI Screening | AI Productivity Layer | Replacement Speed | Quality Control | Build AI systems that improve practical buyer trust signals, including faster response time, cleaner qualification, clearer communication, more consistent follow-up, and better reporting readiness. | Continuously enrich and maintain AI knowledge bases, including service packages, FAQs, objections, case studies, SOPs, Japan-facing trust narratives, GCC-facing speed narratives, and proof assets. | Organize and improve AI-related data across leads, buyer intent, geography, market segment, conversation quality, and conversion signals. | Review AI conversations and interaction flows to identify what builds trust, what creates hesitation, and what improves buyer confidence across Asia-focused markets. | Improve prompts, agent logic, and workflow orchestration for qualification, follow-up, expansion, escalation, and demand generation scenarios. | Update and maintain AI-connected workflow systems, including CRM, WhatsApp/chat flow, meeting booking, reporting, and automation infrastructure. | Audit AI outputs to ensure responses are sharp, relevant, business-safe, trust-building, and aligned with Sagara’s positioning as a specialist in trusted tech outsourcing from Indonesia. | Build new automations from repetitive human work to increase speed, consistency, clarity, and scalability. | Collaborate closely with marketing, sales, recruiter, and account teams to ensure AI workflows support real business conversion and market trust—not just content generation or automation volume. | Monitor AI performance, identify gaps, and continuously improve the system so Sagara becomes one of the fastest-trusted tech outsourcing vendors in Asia. | Must be highly proficient inOpenAI Responses APIandOpenAI Agents SDK. | Strong hands-on experience with:tool calling / function callingagent orchestrationhandoffstracingweb searchfile searchAI workflow integration | tool calling / function calling | agent orchestration | handoffs | tracing | web search | file search | AI workflow integration | Able to build and improve production-grade AI agents for:lead qualificationfollow-upschedulingknowledge retrievalreportingtrust-building workflows | lead qualification | follow-up | scheduling | knowledge retrieval | reporting | trust-building workflows | Strong understanding of AI workflows, prompt engineering, automation logic, conversational systems, and agent-based orchestration. | Strong understanding of how trust is built in B2B services—especially through speed, clarity, consistency, responsiveness, and operational discipline. | Strong business sense in translating market needs into AI systems that improve demand quality and buyer confidence. | Proven experience in AI automation, growth systems, prompt engineering, workflow building, CRM automation, or similar roles. Fresh graduates with strong internship or project experience are welcome. | Familiarity with tools such as OpenAI, ChatGPT, WhatsApp automation, CRM tools, Notion, Airtable, Zapier, n8n, or similar workflow systems. | Strong analytical skills in reviewing AI conversations, user intent, automation performance, and conversion quality. | Ability to structure knowledge, data, prompts, and workflows into repeatable systems. | Strong communication skills and the ability to work across technical, commercial, and operational teams. | Strong problem-solving ability with a proactive mindset toward continuous system improvement. | Understanding of B2B lead generation, digital demand generation, and conversion funnel logic is a strong advantage. | Detail-oriented, highly organized, and able to manage multiple experiments and workflows simultaneously. | Bachelor’s degree in Computer Science, Information Technology, Information Systems, Engineering, or a related field. | Willing to work full on-site in Jakarta. | build AI systems that make Sagara look clearer, sharper, and more trustworthy in the market | improve how quickly buyers understand Sagara’s value | reduce friction between first interest and qualified demand | make Sagara’s communication more consistent and more credible | turn AI into a practical trust layer for Japan and GCC buyers | help position Sagara as a reliable, structured, and easy-to-work-with tech outsourcing partner from Indonesia",https://id.jobstreet.com/id/job/91461561
System Analyst,PT Leap Digital Indonesia,"Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/91388271
Software Engineer,AMDOCS,Jakarta Raya,Full time,"Rp 8,000,000 – Rp 12,000,000 per month","Participate in the full software development lifecycle, including requirements analysis, system design, coding, testing, and deployment | Write clean, efficient, and well-documented code in a variety of programming languages and technologies | Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions | Troubleshoot and debug issues, and provide support for existing software systems | Continuously learn and stay up-to-date with the latest trends and best practices in software engineering | Contribute to the development of reusable software components and libraries | Assist in the implementation of agile development methodologies and processes | Degree in Computer Science, Software Engineering, or a related field | 0-3 years of experience in software development, preferably in the Information & Communication Technology industry. | Understanding on basic linux , sql, shell script, python etc | Experience with software design patterns, algorithms, and data structures | Strong problem-solving and critical thinking skills | Excellent communication and collaboration abilities",https://id.jobstreet.com/id/job/91591174
CTIZENSHIP - Quality Assurance,CTI Group,Jakarta Raya,Full time,Dirahasiakan,Final year university student from Information Technology or related field | Interest to learn and pursue career as Quality Assurance | Acquire the basic mastery of technical role in IT business to ensure software quality standards through continuous improvement of testing processes during the 6 + 6 months program,https://id.jobstreet.com/id/job/90698715
SAP BASIS,PT Eka Mas Republik,Jakarta Raya,Full time,Dirahasiakan,Min Bachelor's Degree of Information Technology/Computer Science | At least 3 years of experience as SAP Administrator | Hands-on experience with SAP S/4 HANA version,https://id.jobstreet.com/id/job/91123761
System & Cloud Engineer,PT Nusa Satu Inti Artha,"Kebayoran Lama, Jakarta Raya",Kontrak/Temporer,Dirahasiakan,"Configure and manage system environments, backup configurations, and maintain thorough documentation of all processes. | Automate system operations using various configuration management tools to streamline operations and reduce manual efforts. | Diagnose and troubleshoot network devices in both staging and production environments to ensure smooth operations. | Implement and apply security measures across systems and cloud platforms to safeguard sensitive data, software, and hardware. | Regularly perform and verify data backups as a proactive measure against potential system failures or disasters. | Manage updates for software and licenses, recommend renewals and purchases, and ensure that data network equipment is running on the latest stable firmware releases. | Monitor system performance, track usage patterns, and report operational statuses for both systems and cloud environments. | Provide technical advice and solutions to IT and software development teams to resolve system and cloud-related issues. | Coordinate with IT personnel and vendors to address and resolve issues promptly, ensuring timely fixes and system enhancements. | Bachelor’s degree in Computer Science, Information Systems, or a related field | 1-2 years of experience working with systems and cloud infrastructure | Strong documentation skills | Excellent problem-solving and troubleshooting abilities | Good communication skills, both in English and Bahasa | Ability to work in teams and collaborate with cross-functional groups | Proficiency in system and cloud configuration and automation tools | Experience with Linux OS, particularly CentOS and RockyLinux | Familiarity with Alibaba Cloud services (ECS, ACK, Log Service) | Experience with Amazon AWS services (ECS, ACK, Log Service) | Knowledge of Kubernetes, Containers, and Docker for cloud-based deployments | Good understanding of security practices for system and cloud environments",https://id.jobstreet.com/id/job/91490250
IT Operations / Production Support,Vascomm,Jakarta Raya,Full time,Dirahasiakan,"Melakukan monitoring aplikasi, database, dan infrastruktur sistem | Menangani incident operasional pada sistem transaksi | Melakukan analisa awal dan mitigasi masalah berdasarkan SOP dan Knowledge Base | Melakukan troubleshooting operasional seperti restart service, validasi data, dan pengecekan log | Berkoordinasi dengan tim internal maupun pihak eksternal dalam penanganan incident | Membuat incident report dan Root Cause Analysis (RCA) | Memperbarui Knowledge Base untuk recurring issue | Linux production server | Container orchestration (Kubernetes) | Database system (MySQL / MongoDB) | Monitoring tools (Grafana, Prometheus, Zabbix) | High-availability transactional system | Teknik Informatika | Sistem Informasi | Teknik Komputer | atau bidang terkait | IT Operations | Production Support | NOC / Application Support | IT Service Operations | Linux Production Server | Monitoring tools (Grafana, Zabbix, Prometheus, atau sejenis) | Database dasar (MySQL / MongoDB) | Log analysis dan troubleshooting aplikasi production | Incident management | Container Orchestration (Kubernetes) | Problem solving dan analytical thinking | Respons cepat terhadap incident operasional | Mampu bekerja dalam shift operation | Komunikasi yang baik dengan tim teknis maupun non-teknis | Menyelesaikan ≥80% incident pada level operasional | Menjaga MTTR ≤ 30 menit | Memastikan tidak terjadi SLA breach untuk incident kritikal | Mendokumentasikan dan memperbarui Knowledge Base untuk recurring issue | Pengalaman menangani sistem transaksi skala besar | Pengalaman pada sistem pembayaran / fintech | Pengalaman operasional sistem high availability | Bekerja pada aplikasi transaksional skala nasional | Terlibat dalam operasional sistem high availability | Lingkungan kerja teknologi modern dan production-grade system",https://id.jobstreet.com/id/job/90845935
Project Manager,PT Graha Karya Informasi,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"S1 Teknik Informatika, Manajemen, Sistem Informasi, atau bidang terkait | Minimal 2-5 tahun pengalaman project management IT Infrastructure | Pengalaman mengelola multiple projects | Menggunakan tools PM (MS Project, Jira, Asana, dll) | Menguasai metodologi PM (Waterfall, Agile, Scrum) | Kemampuan analisis data dan reporting | Risk management dan quality assurance | Komunikasi yang baik (lisan dan tulisan) | Leadership dan problem solving",https://id.jobstreet.com/id/job/90843514
Junior Full Stack Developer,Zahir,Jakarta Raya,Full time,Dirahasiakan,"Build and develop frontend and back end zahir internal service (zahirID, integration, BI) using GOLang, laravel and react JS | Familiar with API, Laravel, GOLang | Familiar with css/html/js | Experience with reactJs | Familiar with code versioning and repositories | Understand web App",https://id.jobstreet.com/id/job/90896775
Software Engineer - Backend (Service),PT Samsung Electronics Indonesia,Jakarta Raya,Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/90725313
IT Technical Consultant,PT Intech Solusi Sukses,"Jakarta Utara, Jakarta Raya",Full time,Dirahasiakan,"Pendidikan minimal SMK jurusan Teknik Komputer dan Jaringan atau bidang terkait | Memiliki pengalaman kerja minimal 1 tahun di bidang Network Engineer , Application Development | Memahami instalasi serta troubleshooting perangkat jaringan | Memiliki pengalaman dalam cloud computing terutama AWS | Pengalaman dalam pembuatan aplikasi serta API menggunakan Bahasa phython, react, PHP | Pengalaman dalam mengelola serta kustomisasi aplikasi Odoo | Memiliki kemampuan Bahasa Inggris yang baik (lisan dan tulisan) | Membangun infrastruktur IT baik secara pengadaan perangkat dan jaringan | Melakukan instalasi, konfigurasi terhadap system AWS Cloud Computing, beserta aplikasi Odoo | Melakukan dokumentasi teknis terkait implementasi proyek IT di klien | Pembuatan aplikasi Custom untuk memenuhi kebutuhan klien",https://id.jobstreet.com/id/job/91222421
Senior IT Architech,PT Diesel Utama Indonesia (Diesel One Group),"Jakarta Pusat, Jakarta Raya",Full time,Dirahasiakan,"Melakukan pengembangan dan kustomisasi modul Odoo ERP sesuai kebutuhan bisnis | Melakukan integrasi Odoo dengan sistem lain (API, aplikasi internal, dan sistem pihak ketiga) | Bertanggung jawab atas pengembangan aplikasiin-house | Mendesain dan mengelola arsitektur sistem (termasuk pendekatan Microservices atau Monolith sesuai kebutuhan) | Menyusun dokumentasi teknis terkait sistem dan modul yang dikembangkan (termasuk source code, access role, dan aspek teknis lainnya) | Melakukan pemeliharaan, troubleshooting, serta optimasi performa sistem. | Pendidikan minimal S1 di bidang Teknologi Informasi atau bidang terkait | Memiliki pengalaman minimal 5 tahun di bidang pengembangan sistem / IT Architect | Memiliki keahlian dalam:Pengembangan dan kustomisasi Odoo (Python dan API)Odoo Design SystemFramework Laravel dan FlutterIntegrasi sistem berbasis REST APIPengelolaan database (SQL/MySQL/PostgreSQL)Version control menggunakan Git | Pengembangan dan kustomisasi Odoo (Python dan API) | Odoo Design System | Framework Laravel dan Flutter | Integrasi sistem berbasis REST API | Pengelolaan database (SQL/MySQL/PostgreSQL) | Version control menggunakan Git | Memahami Enterprise Architecture, seperti TOGAF, Security Architecture, serta konsep arsitekturMicroservices dan Monolith | MemahamiDocker, CICD, DevOpsmenjadi nilai tambah.",https://id.jobstreet.com/id/job/91349496
IT Onsite Technician - Jakarta,Hemmersbach,Jakarta Raya,Full time,Dirahasiakan,"Excellent time management skill | 18 months of IT experience (or equivalent) | Ability to build relationships | Experience in OS, Apps and H/W installation and troubleshooting depending on project products | Provide onsite and/or remote technical support for PCs, laptops, mobile phones, and peripheral devices | Support standard operating systems and commonly used business applications | Resolve incidents and fulfill service requests according to established procedures | Apply intermediate-level subject matter knowledge to troubleshoot and solve problems independently | Exercise sound judgment when evaluating unique or non-standard situations, providing recommendations when required | Deliver high-quality, client-facing communication—both verbal and written | Participate in small to medium-scale projects as needed | Offer feedback on new or updated technical processes to help improve efficiency | Perform device disposal services in accordance with company policy and compliance requirements | Collaborate with cross-functional teams when advanced or escalated support is required | Maintain accurate documentation of issues, activities, and resolutions",https://id.jobstreet.com/id/job/90728522
Jr. Software Engineer,PT Karunia Internasional Citra Kencana,"Jakarta Barat, Jakarta Raya",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/91263563
