role_category,source_skill,target_skill,weight
AI / Machine Learning Engineer,artificial intelligence,azure,21
AI / Machine Learning Engineer,aws,linux,21
AI / Machine Learning Engineer,aws,scrum,21
AI / Machine Learning Engineer,ci/cd,gcp,21
AI / Machine Learning Engineer,computer vision,git,21
AI / Machine Learning Engineer,docker,linux,21
AI / Machine Learning Engineer,golang,machine learning,21
AI / Machine Learning Engineer,golang,python,21
AI / Machine Learning Engineer,hive,python,21
AI / Machine Learning Engineer,jira,machine learning,21
AI / Machine Learning Engineer,python,version control,21
AI / Machine Learning Engineer,c++,git,20
AI / Machine Learning Engineer,c++,linux,20
AI / Machine Learning Engineer,hadoop,kotlin,20
AI / Machine Learning Engineer,hive,machine learning,20
AI / Machine Learning Engineer,hive,spark,20
AI / Machine Learning Engineer,javascript,python,20
AI / Machine Learning Engineer,jira,sql,20
AI / Machine Learning Engineer,kanban,machine learning,20
AI / Machine Learning Engineer,kotlin,spark,20
AI / Machine Learning Engineer,agile,jira,19
AI / Machine Learning Engineer,agile,kanban,19
AI / Machine Learning Engineer,artificial intelligence,aws,19
AI / Machine Learning Engineer,computer vision,gcp,19
AI / Machine Learning Engineer,data warehouse,machine learning,19
AI / Machine Learning Engineer,data warehouse,python,19
AI / Machine Learning Engineer,etl,sql,19
AI / Machine Learning Engineer,gcp,java,19
AI / Machine Learning Engineer,git,spark,19
AI / Machine Learning Engineer,google cloud,sql,19
AI / Machine Learning Engineer,hadoop,linux,19
AI / Machine Learning Engineer,java,kotlin,19
AI / Machine Learning Engineer,kanban,python,19
AI / Machine Learning Engineer,kanban,scrum,19
AI / Machine Learning Engineer,linux,spark,19
AI / Machine Learning Engineer,machine learning,version control,19
AI / Machine Learning Engineer,scrum,spark,19
AI / Machine Learning Engineer,artificial intelligence,c++,18
AI / Machine Learning Engineer,aws,kafka,18
AI / Machine Learning Engineer,azure,c++,18
AI / Machine Learning Engineer,data modeling,python,18
AI / Machine Learning Engineer,data warehouse,java,18
AI / Machine Learning Engineer,hadoop,hive,18
AI / Machine Learning Engineer,javascript,machine learning,18
AI / Machine Learning Engineer,kotlin,machine learning,18
AI / Machine Learning Engineer,kotlin,tensorflow,18
AI / Machine Learning Engineer,scrum,sql,18
AI / Machine Learning Engineer,ai,hadoop,17
AI / Machine Learning Engineer,apache,sql,17
AI / Machine Learning Engineer,apache,tensorflow,17
AI / Machine Learning Engineer,ci/cd,hadoop,17
AI / Machine Learning Engineer,ci/cd,kotlin,17
AI / Machine Learning Engineer,data warehouse,pytorch,17
AI / Machine Learning Engineer,data warehouse,tensorflow,17
AI / Machine Learning Engineer,docker,kotlin,17
AI / Machine Learning Engineer,jenkins,python,17
AI / Machine Learning Engineer,kotlin,kubernetes,17
AI / Machine Learning Engineer,microservices,python,17
AI / Machine Learning Engineer,nlp,spark,17
AI / Machine Learning Engineer,ai,github,16
AI / Machine Learning Engineer,artificial intelligence,git,16
AI / Machine Learning Engineer,aws,gitlab,16
AI / Machine Learning Engineer,azure,kanban,16
AI / Machine Learning Engineer,azure,linux,16
AI / Machine Learning Engineer,c/c++,deep learning,16
AI / Machine Learning Engineer,computer vision,linux,16
AI / Machine Learning Engineer,confluence,jira,16
AI / Machine Learning Engineer,data warehouse,spark,16
AI / Machine Learning Engineer,deep learning,hadoop,16
AI / Machine Learning Engineer,deep learning,scrum,16
AI / Machine Learning Engineer,django,kubernetes,16
AI / Machine Learning Engineer,gcp,spark,16
AI / Machine Learning Engineer,gitlab,kubernetes,16
AI / Machine Learning Engineer,gitlab,machine learning,16
AI / Machine Learning Engineer,gitlab,python,16
AI / Machine Learning Engineer,kafka,sql,16
AI / Machine Learning Engineer,kubernetes,linux,16
AI / Machine Learning Engineer,machine learning,microservices,16
AI / Machine Learning Engineer,agile,data warehouse,15
AI / Machine Learning Engineer,ai,c/c++,15
AI / Machine Learning Engineer,apache,pytorch,15
AI / Machine Learning Engineer,aws,django,15
AI / Machine Learning Engineer,aws,golang,15
AI / Machine Learning Engineer,aws,kanban,15
AI / Machine Learning Engineer,aws,tdd,15
AI / Machine Learning Engineer,bash,python,15
AI / Machine Learning Engineer,ci/cd,git,15
AI / Machine Learning Engineer,confluence,machine learning,15
AI / Machine Learning Engineer,confluence,python,15
AI / Machine Learning Engineer,django,gcp,15
AI / Machine Learning Engineer,django,gitlab,15
AI / Machine Learning Engineer,django,machine learning,15
AI / Machine Learning Engineer,django,python,15
AI / Machine Learning Engineer,django,tdd,15
AI / Machine Learning Engineer,docker,jenkins,15
AI / Machine Learning Engineer,gcp,gitlab,15
AI / Machine Learning Engineer,gcp,tdd,15
AI / Machine Learning Engineer,git,jira,15
AI / Machine Learning Engineer,gitlab,tdd,15
AI / Machine Learning Engineer,go,python,15
AI / Machine Learning Engineer,hive,sql,15
AI / Machine Learning Engineer,jenkins,machine learning,15
AI / Machine Learning Engineer,kanban,pytorch,15
AI / Machine Learning Engineer,kanban,tensorflow,15
AI / Machine Learning Engineer,kotlin,pytorch,15
AI / Machine Learning Engineer,kubernetes,tdd,15
AI / Machine Learning Engineer,machine learning,terraform,15
AI / Machine Learning Engineer,agile,computer vision,14
AI / Machine Learning Engineer,ai,javascript,14
AI / Machine Learning Engineer,ai,kafka,14
AI / Machine Learning Engineer,automation testing,aws,14
AI / Machine Learning Engineer,automation testing,machine learning,14
AI / Machine Learning Engineer,aws,data warehouse,14
AI / Machine Learning Engineer,aws,etl,14
AI / Machine Learning Engineer,c++,docker,14
AI / Machine Learning Engineer,computer vision,spark,14
AI / Machine Learning Engineer,computer vision,sql,14
AI / Machine Learning Engineer,data modeling,sql,14
AI / Machine Learning Engineer,docker,gitlab,14
AI / Machine Learning Engineer,go,machine learning,14
AI / Machine Learning Engineer,golang,kubernetes,14
AI / Machine Learning Engineer,kafka,spark,14
AI / Machine Learning Engineer,llm,nlp,14
AI / Machine Learning Engineer,machine learning,tdd,14
AI / Machine Learning Engineer,python,tdd,14
AI / Machine Learning Engineer,agile,kafka,13
AI / Machine Learning Engineer,ai,data modeling,13
AI / Machine Learning Engineer,apache,aws,13
AI / Machine Learning Engineer,automation testing,django,13
AI / Machine Learning Engineer,automation testing,gcp,13
AI / Machine Learning Engineer,automation testing,gitlab,13
AI / Machine Learning Engineer,automation testing,kubernetes,13
AI / Machine Learning Engineer,automation testing,python,13
AI / Machine Learning Engineer,automation testing,tdd,13
AI / Machine Learning Engineer,aws,jira,13
AI / Machine Learning Engineer,azure,data warehouse,13
AI / Machine Learning Engineer,azure,jira,13
AI / Machine Learning Engineer,bash,machine learning,13
AI / Machine Learning Engineer,bash,sql,13
AI / Machine Learning Engineer,c++,kubernetes,13
AI / Machine Learning Engineer,c++,sql,13
AI / Machine Learning Engineer,computer vision,nlp,13
AI / Machine Learning Engineer,deep learning,llm,13
AI / Machine Learning Engineer,django,docker,13
AI / Machine Learning Engineer,docker,jira,13
AI / Machine Learning Engineer,docker,tdd,13
AI / Machine Learning Engineer,gcp,hadoop,13
AI / Machine Learning Engineer,git,hadoop,13
AI / Machine Learning Engineer,github,sql,13
AI / Machine Learning Engineer,javascript,pytorch,13
AI / Machine Learning Engineer,javascript,tensorflow,13
AI / Machine Learning Engineer,kubernetes,llm,13
AI / Machine Learning Engineer,kubernetes,nlp,13
AI / Machine Learning Engineer,llm,pytorch,13
AI / Machine Learning Engineer,python,terraform,13
AI / Machine Learning Engineer,agile,github,12
AI / Machine Learning Engineer,ai,scrum,12
AI / Machine Learning Engineer,automation testing,docker,12
AI / Machine Learning Engineer,aws,hive,12
AI / Machine Learning Engineer,aws,jenkins,12
AI / Machine Learning Engineer,azure,kafka,12
AI / Machine Learning Engineer,bash,linux,12
AI / Machine Learning Engineer,c#,python,12
AI / Machine Learning Engineer,c++,gcp,12
AI / Machine Learning Engineer,c/c++,computer vision,12
AI / Machine Learning Engineer,ci/cd,github,12
AI / Machine Learning Engineer,computer vision,hadoop,12
AI / Machine Learning Engineer,data warehouse,google cloud,12
